!
!Date: 09/14/2017
!From: Saccharomyces Genome Database (SGD) 
!URL: http://www.yeastgenome.org/ 
!Contact Email: sgd-helpdesk@lists.stanford.edu 
!Funding: NHGRI at US NIH, grant number 5-U41-HG001315 
!

Feature	Feature Systematic Name	Feature Type	Coordinates	Strand
ADR1	YDR216W	ORF	895035-899006	+
ARS427	ARS427	ARS	899051-899596	0
RAD9	YDR217C	ORF	899551-903480	-
SPR28	YDR218C	ORF	903781-905052	-
MFB1	YDR219C	ORF	905455-906852	-
YDR220C	YDR220C	ORF	907000-907293	-
GTB1	YDR221W	ORF	907330-909438	+
YDR222W	YDR222W	ORF	910054-911301	+
CRF1	YDR223W	ORF	912099-913502	+
ARS428	ARS428	ARS	913790-914038	0
HTB1	YDR224C	ORF	914317-914712	-
HTA1	YDR225W	ORF	915530-915928	+
ADK1	YDR226W	ORF	916486-917154	+
SIR4	YDR227W	ORF	917571-921647	+
ARS429	ARS429	ARS	921692-921939	0
PCF11	YDR228C	ORF	921926-923806	-
IVY1	YDR229W	ORF	924785-926146	+
YDR230W	YDR230W	ORF	926223-926570	+
COX20	YDR231C	ORF	926293-926910	-
HEM1	YDR232W	ORF	927452-929098	+
RTN1	YDR233C	ORF	929470-930357	-
LYS4	YDR234W	ORF	931129-933210	+
PRP42	YDR235W	ORF	933504-935138	+
FMN1	YDR236C	ORF	935236-935892	-
MRPL7	YDR237W	ORF	936615-937493	+
SEC26	YDR238C	ORF	937895-940816	-
YDR239C	YDR239C	ORF	941057-943420	-
SNU56	YDR240C	ORF	943674-945152	-
BUD26	YDR241W	ORF	945151-945438	+
YDRWdelta12	YDRWdelta12	long_terminal_repeat	945351-945673	+
YDRCsigma3	YDRCsigma3	long_terminal_repeat	945955-946295	-
SUP2	tY(GUA)D	tRNA_gene	946312-946400	+
AMD2	YDR242W	ORF	946807-948456	+
PRP28	YDR243C	ORF	948518-950284	-
PEX5	YDR244W	ORF	950563-952401	+
MNN10	YDR245W	ORF	952800-953981	+
TRS23	YDR246W	ORF	954288-954947	+
YDR246W-A	YDR246W-A	ORF	955133-955333	+
VHS1	YDR247W	ORF	956013-957398	+
YDR248C	YDR248C	ORF	957758-958339	-
YDR249C	YDR249C	ORF	958681-959802	-
YDR250C	YDR250C	ORF	960086-960361	-
PAM1	YDR251W	ORF	960614-963106	+
BTT1	YDR252W	ORF	963412-963861	+
MET32	YDR253C	ORF	963990-964565	-
CHL4	YDR254W	ORF	965113-966489	+
RMD5	YDR255C	ORF	966557-967822	-
CTA1	YDR256C	ORF	968133-969680	-
RKM4	YDR257C	ORF	969990-971474	-
HSP78	YDR258C	ORF	971808-974243	-
YAP6	YDR259C	ORF	974631-975782	-
SWM1	YDR260C	ORF	976717-977229	-
EXG2	YDR261C	ORF	977521-979209	-
tS(AGA)D2	tS(AGA)D2	tRNA_gene	980974-981055	-
YDRWdelta19	YDRWdelta19	long_terminal_repeat	981171-981502	+
YDRWTy2-3	YDRWTy2-3	LTR_retrotransposon	981171-987125	+
YDR261W-A	YDR261W-A	transposable_element_gene	981462-982778	+
YDR261W-B	YDR261W-B	transposable_element_gene	981462-986775	+
YDRWdelta20	YDRWdelta20	long_terminal_repeat	986794-987125	+
YDRCTy1-3	YDRCTy1-3	LTR_retrotransposon	987150-992642	-
YDRCdelta21	YDRCdelta21	long_terminal_repeat	987150-987483	-
YDR261C-D	YDR261C-D	transposable_element_gene	987534-992349	-
YDR261C-C	YDR261C-C	transposable_element_gene	991027-992349	-
YDRCdelta22	YDRCdelta22	long_terminal_repeat	992309-992642	-
YDRCsigma4	YDRCsigma4	long_terminal_repeat	992740-992815	-
tG(GCC)D2	tG(GCC)D2	tRNA_gene	992832-992902	+
YDR262W	YDR262W	ORF	993134-993952	+
DIN7	YDR263C	ORF	994242-995534	-
AKR1	YDR264C	ORF	996029-998323	-
PEX10	YDR265W	ORF	998864-999877	+
HEL2	YDR266C	ORF	1000104-1002023	-
CIA1	YDR267C	ORF	1002510-1003502	-
MSW1	YDR268W	ORF	1004004-1005143	+
YDR269C	YDR269C	ORF	1005665-1005988	-
CCC2	YDR270W	ORF	1005675-1008689	+
YDR271C	YDR271C	ORF	1008395-1008766	-
GLO2	YDR272W	ORF	1009010-1009834	+
DON1	YDR273W	ORF	1010176-1011273	+
YDR274C	YDR274C	ORF	1011589-1011960	-
BSC2	YDR275W	ORF	1012252-1012959	+
PMP3	YDR276C	ORF	1013476-1013643	-
MTH1	YDR277C	ORF	1014401-1015702	-
ARS430	ARS430	ARS	1016670-1016911	0
YDR278C	YDR278C	ORF	1017001-1017318	-
tE(CUC)D	tE(CUC)D	tRNA_gene	1017207-1017278	-
RNH202	YDR279W	ORF	1019368-1020420	+
RRP45	YDR280W	ORF	1020747-1021664	+
PHM6	YDR281C	ORF	1022007-1022321	-
YDRWsigma5	YDRWsigma5	long_terminal_repeat	1023137-1023477	+
MRX10	YDR282C	ORF	1023511-1024755	-
GCN2	YDR283C	ORF	1025070-1030049	-
DPP1	YDR284C	ORF	1030550-1031419	-
ZIP1	YDR285W	ORF	1032436-1035063	+
MGP12	YDR286C	ORF	1035231-1035575	-
INM2	YDR287W	ORF	1035995-1036873	+
NSE3	YDR288W	ORF	1037195-1038106	+
RTT103	YDR289C	ORF	1038280-1039509	-
YDR290W	YDR290W	ORF	1039370-1039699	+
HRQ1	YDR291W	ORF	1039728-1042961	+
SRP101	YDR292C	ORF	1043146-1045011	-
SSD1	YDR293C	ORF	1045640-1049392	-
DPL1	YDR294C	ORF	1050459-1052228	-
HDA2	YDR295C	ORF	1052623-1054647	-
MHR1	YDR296W	ORF	1055212-1055892	+
SUR2	YDR297W	ORF	1056551-1057600	+
ARS431	ARS431	ARS	1057841-1057951	0
ATP5	YDR298C	ORF	1058176-1058814	-
BFR2	YDR299W	ORF	1059627-1061231	+
PRO1	YDR300C	ORF	1061505-1062791	-
CFT1	YDR301W	ORF	1063352-1067425	+
GPI11	YDR302W	ORF	1067731-1068390	+
RSC3	YDR303C	ORF	1068729-1071386	-
CPR5	YDR304C	ORF	1071880-1072557	-
HNT2	YDR305C	ORF	1072746-1073488	-
YDR306C	YDR306C	ORF	1073735-1075171	-
tV(CAC)D	tV(CAC)D	tRNA_gene	1075472-1075544	-
PMT7	YDR307W	ORF	1075865-1077853	+
SRB7	YDR308C	ORF	1078027-1078449	-
GIC2	YDR309C	ORF	1079048-1080199	-
SUM1	YDR310C	ORF	1081128-1084316	-
TFB1	YDR311W	ORF	1085065-1086993	+
SSF2	YDR312W	ORF	1087581-1088942	+
PIB1	YDR313C	ORF	1089219-1090079	-
RAD34	YDR314C	ORF	1090433-1092511	-
IPK1	YDR315C	ORF	1092741-1093586	-
OMS1	YDR316W	ORF	1093763-1095178	+
tF(GAA)D	tF(GAA)D	tRNA_gene	1095370-1095461	-
YDRWdelta23	YDRWdelta23	long_terminal_repeat	1095767-1096104	+
YDRWTy1-4	YDRWTy1-4	LTR_retrotransposon	1095767-1101692	+
YDR316W-A	YDR316W-A	transposable_element_gene	1096064-1097386	+
YDR316W-B	YDR316W-B	transposable_element_gene	1096064-1101332	+
YDRWdelta24	YDRWdelta24	long_terminal_repeat	1101355-1101692	+
HIM1	YDR317W	ORF	1102184-1103428	+
MCM21	YDR318W	ORF	1103758-1104947	+
YFT2	YDR319C	ORF	1105003-1105827	-
SWA2	YDR320C	ORF	1106095-1108101	-
DAD4	YDR320C-A	ORF	1108280-1108498	-
YDR320W-B	YDR320W-B	ORF	1108484-1108621	+
ASP1	YDR321W	ORF	1108702-1109847	+
ARS452	ARS452	ARS	1109964-1110204	0
MRPL35	YDR322W	ORF	1110589-1111692	+
TIM11	YDR322C-A	ORF	1112003-1112293	-
PEP7	YDR323C	ORF	1112480-1114027	-
UTP4	YDR324C	ORF	1114433-1116763	-
YCG1	YDR325W	ORF	1117126-1120233	+
YSP2	YDR326C	ORF	1120609-1124925	-
YDR327W	YDR327W	ORF	1125302-1125628	+
SKP1	YDR328C	ORF	1125434-1126018	-
PEX3	YDR329C	ORF	1126270-1127595	-
UBX5	YDR330W	ORF	1127872-1129374	+
GPI8	YDR331W	ORF	1129588-1130823	+
IRC3	YDR332W	ORF	1131001-1133070	+
RQC1	YDR333C	ORF	1133260-1135431	-
SWR1	YDR334W	ORF	1135932-1140476	+
MSN5	YDR335W	ORF	1141168-1144842	+
MRX8	YDR336W	ORF	1145092-1146036	+
MRPS28	YDR337W	ORF	1146319-1147179	+
YDR338C	YDR338C	ORF	1147379-1149466	-
FCF1	YDR339C	ORF	1149951-1150520	-
tX(XXX)D	tX(XXX)D	tRNA_gene	1150842-1150941	-
YDR340W	YDR340W	ORF	1150881-1151183	+
YDRWdelta25	YDRWdelta25	long_terminal_repeat	1151039-1151368	+
YDR341C	YDR341C	ORF	1151803-1153626	-
HXT7	YDR342C	ORF	1154216-1155928	-
ARS432	ARS432	ARS	1159262-1159510	0
HXT6	YDR343C	ORF	1159608-1161320	-
YDR344C	YDR344C	ORF	1162006-1162449	-
HXT3	YDR345C	ORF	1162957-1164660	-
ARS453	ARS453	ARS	1166067-1166212	0
SVF1	YDR346C	ORF	1167214-1168659	-
MRP1	YDR347W	ORF	1169178-1170143	+
PAL1	YDR348C	ORF	1170326-1171825	-
YPS7	YDR349C	ORF	1172386-1174176	-
YDRCsigma6	YDRCsigma6	long_terminal_repeat	1175134-1175812	-
YDRWdelta26	YDRWdelta26	long_terminal_repeat	1175316-1175647	+
EMT1	tM(CAU)D	tRNA_gene	1175829-1175901	+
ATP22	YDR350C	ORF	1176120-1178174	-
SBE2	YDR351W	ORF	1178666-1181260	+
YPQ2	YDR352W	ORF	1181801-1182754	+
TRR1	YDR353W	ORF	1183299-1184258	+
TRP4	YDR354W	ORF	1184747-1185889	+
YDR354C-A	YDR354C-A	ORF	1185139-1185282	-
YDR355C	YDR355C	ORF	1186067-1186369	-
SPC110	YDR356W	ORF	1186107-1188941	+
CNL1	YDR357C	ORF	1189199-1189567	-
GGA1	YDR358W	ORF	1190059-1191732	+
EAF1	YDR359C	ORF	1191936-1194884	-
OPI7	YDR360W	ORF	1194598-1195032	+
BCP1	YDR361C	ORF	1195412-1196263	-
TFC6	YDR362C	ORF	1196679-1198697	-
ETC6	ETC6	matrix_attachment_site	1198885-1198907	+
ESC2	YDR363W	ORF	1199183-1200553	+
tK(CUU)D1	tK(CUU)D1	tRNA_gene	1201750-1201822	+
SEM1	YDR363W-A	ORF	1202128-1202397	+
CDC40	YDR364C	ORF	1202843-1204210	-
ESF1	YDR365C	ORF	1204497-1206383	-
YDRWdelta27	YDRWdelta27	long_terminal_repeat	1206704-1207037	+
YDRWTy1-5	YDRWTy1-5	LTR_retrotransposon	1206704-1212621	+
YDR365W-A	YDR365W-A	transposable_element_gene	1206997-1208319	+
YDR365W-B	YDR365W-B	transposable_element_gene	1206997-1212265	+
YDRWdelta28	YDRWdelta28	long_terminal_repeat	1212288-1212621	+
YDR366C	YDR366C	ORF	1212438-1212836	-
KEI1	YDR367W	ORF	1212848-1213614	+
YPR1	YDR368W	ORF	1213904-1214842	+
XRS2	YDR369C	ORF	1215016-1217580	-
DXO1	YDR370C	ORF	1217782-1219110	-
CTS2	YDR371W	ORF	1219413-1220948	+
YDR371C-A	YDR371C-A	ORF	1219509-1219613	-
VPS74	YDR372C	ORF	1221112-1222149	-
FRQ1	YDR373W	ORF	1222759-1223331	+
PHO92	YDR374C	ORF	1223474-1224394	-
WIP1	YDR374W-A	ORF	1224757-1225026	+
BCS1	YDR375C	ORF	1225166-1226536	-
ARH1	YDR376W	ORF	1226822-1228303	+
ATP17	YDR377W	ORF	1228611-1228916	+
LSM6	YDR378C	ORF	1229349-1229609	-
RGA2	YDR379W	ORF	1230167-1233196	+
SDH6	YDR379C-A	ORF	1233278-1233517	-
ARO10	YDR380W	ORF	1234218-1236125	+
YRA1	YDR381W	ORF	1236558-1238004	+
MCO13	YDR381C-A	ORF	1238312-1238850	-
RPP2B	YDR382W	ORF	1239492-1239824	+
NKP1	YDR383C	ORF	1239960-1240676	-
ARS433	ARS433	ARS	1240882-1241110	0
ATO3	YDR384C	ORF	1241204-1242031	-
EFT2	YDR385W	ORF	1243230-1245758	+
MUS81	YDR386W	ORF	1246084-1247982	+
CIN10	YDR387C	ORF	1248154-1249821	-
RVS167	YDR388W	ORF	1250186-1251634	+
SAC7	YDR389W	ORF	1252537-1254501	+
UBA2	YDR390C	ORF	1254937-1256847	-
SUF3	tG(CCC)D	tRNA_gene	1257008-1257079	-
YDR391C	YDR391C	ORF	1257358-1258056	-
SPT3	YDR392W	ORF	1258696-1259709	+
SHE9	YDR393W	ORF	1259901-1261271	+
RPT3	YDR394W	ORF	1261681-1262967	+
SXM1	YDR395W	ORF	1263324-1266158	+
YDR396W	YDR396W	ORF	1266295-1266795	+
NCB2	YDR397C	ORF	1266366-1266898	-
UTP5	YDR398W	ORF	1267471-1269402	+
HPT1	YDR399W	ORF	1270068-1270733	+
URH1	YDR400W	ORF	1271063-1272085	+
YDR401W	YDR401W	ORF	1272223-1272786	+
DIT2	YDR402C	ORF	1272234-1273703	-
DIT1	YDR403W	ORF	1274602-1276212	+
ARS434	ARS434	ARS	1276225-1276452	0
RPB7	YDR404C	ORF	1276654-1277169	-
MRP20	YDR405W	ORF	1277646-1278437	+
PDR15	YDR406W	ORF	1279210-1283799	+
YDR406W-A	YDR406W-A	ORF	1283799-1284044	+
TRS120	YDR407C	ORF	1284069-1287938	-
ADE8	YDR408C	ORF	1288215-1288859	-
ETC1	ETC1	matrix_attachment_site	1289041-1289063	+
SIZ1	YDR409W	ORF	1289406-1292120	+
STE14	YDR410C	ORF	1292372-1293091	-
DFM1	YDR411C	ORF	1293369-1294394	-
RRP17	YDR412W	ORF	1294693-1295400	+
YDR413C	YDR413C	ORF	1294836-1295411	-
ERD1	YDR414C	ORF	1295598-1296686	-
YDR415C	YDR415C	ORF	1297037-1298161	-
SYF1	YDR416W	ORF	1298432-1301011	+
YDR417C	YDR417C	ORF	1301555-1301926	-
RPL12B	YDR418W	ORF	1301616-1302113	+
ARS435	ARS435	ARS	1302689-1302768	0
RAD30	YDR419W	ORF	1303174-1305072	+
tS(AGA)D3	tS(AGA)D3	tRNA_gene	1305630-1305712	+
ARS436	ARS436	ARS	1305757-1306312	0
HKR1	YDR420W	ORF	1306267-1311675	+
ARO80	YDR421W	ORF	1312040-1314892	+
SIP1	YDR422C	ORF	1315326-1317773	-
CAD1	YDR423C	ORF	1318046-1319275	-
DYN2	YDR424C	ORF	1319387-1319841	-
SNX41	YDR425W	ORF	1320064-1321941	+
YDR426C	YDR426C	ORF	1321629-1322006	-
RPN9	YDR427W	ORF	1322205-1323386	+
BNA7	YDR428C	ORF	1323454-1324239	-
TIF35	YDR429C	ORF	1324477-1325301	-
CYM1	YDR430C	ORF	1325501-1328470	-
YDR431W	YDR431W	ORF	1328390-1328701	+
NPL3	YDR432W	ORF	1328783-1330027	+
YDR433W	YDR433W	ORF	1329600-1330040	+
GPI17	YDR434W	ORF	1331237-1332841	+
PPM1	YDR435C	ORF	1332983-1333969	-
PPZ2	YDR436W	ORF	1334821-1336953	+
GPI19	YDR437W	ORF	1337352-1337774	+
THI74	YDR438W	ORF	1338274-1339386	+
LRS4	YDR439W	ORF	1339676-1340719	+
DOT1	YDR440W	ORF	1342493-1344241	+
APT2	YDR441C	ORF	1344517-1345062	-
YDR442W	YDR442W	ORF	1345647-1346039	+
SSN2	YDR443C	ORF	1345676-1349938	-
YDR444W	YDR444W	ORF	1350290-1352353	+
YDR445C	YDR445C	ORF	1352182-1352589	-
tK(CUU)D2	tK(CUU)D2	tRNA_gene	1352466-1352538	-
YDRWdelta29	YDRWdelta29	long_terminal_repeat	1352644-1352975	+
YDRWdelta30	YDRWdelta30	long_terminal_repeat	1352976-1353226	+
ECM11	YDR446W	ORF	1353725-1354633	+
RPS17B	YDR447C	ORF	1354829-1355553	-
ADA2	YDR448W	ORF	1356065-1357369	+
UTP6	YDR449C	ORF	1357580-1358902	-
RPS18A	YDR450W	ORF	1359923-1360798	+
YHP1	YDR451C	ORF	1361120-1362181	-
PPN1	YDR452W	ORF	1362878-1364902	+
TSA2	YDR453C	ORF	1365072-1365662	-
GUK1	YDR454C	ORF	1366264-1366827	-
YDR455C	YDR455C	ORF	1367373-1367681	-
NHX1	YDR456W	ORF	1367485-1369386	+
TOM1	YDR457W	ORF	1369790-1379596	+
ARS439	ARS439	ARS	1379641-1380100	0
HEH2	YDR458C	ORF	1380055-1382046	-
PFA5	YDR459C	ORF	1382319-1383443	-
TFB3	YDR460W	ORF	1383811-1384776	+
MFA1	YDR461W	ORF	1385176-1385286	+
YDR461C-A	YDR461C-A	ORF	1385524-1385766	-
MRPL28	YDR462W	ORF	1386073-1386516	+
STP1	YDR463W	ORF	1386816-1388375	+
SPP41	YDR464W	ORF	1388872-1393179	+
YDR464C-A	YDR464C-A	ORF	1392492-1392680	-
RMT2	YDR465C	ORF	1393336-1394574	-
PKH3	YDR466W	ORF	1395121-1397817	+
YDR467C	YDR467C	ORF	1397583-1397909	-
TLG1	YDR468C	ORF	1398026-1398700	-
SDC1	YDR469W	ORF	1399015-1399542	+
UGO1	YDR470C	ORF	1399706-1401214	-
RPL27B	YDR471W	ORF	1401770-1402564	+
SNR13	snR13	snoRNA_gene	1402919-1403042	+
TRS31	YDR472W	ORF	1403322-1404173	+
ARS440	ARS440	ARS	1404290-1404524	0
PRP3	YDR473C	ORF	1404445-1405854	-
JIP4	YDR475C	ORF	1407464-1410094	-
YDR476C	YDR476C	ORF	1410453-1411127	-
SNF1	YDR477W	ORF	1412373-1414274	+
SNM1	YDR478W	ORF	1414575-1415171	+
PEX29	YDR479C	ORF	1415210-1416874	-
DIG2	YDR480W	ORF	1417399-1418370	+
PHO8	YDR481C	ORF	1418550-1420250	-
CWC21	YDR482C	ORF	1420431-1420838	-
KRE2	YDR483W	ORF	1421157-1422485	+
VPS52	YDR484W	ORF	1422763-1424688	+
VPS72	YDR485C	ORF	1424820-1427207	-
VPS60	YDR486C	ORF	1427431-1428120	-
RIB3	YDR487C	ORF	1428354-1428980	-
PAC11	YDR488C	ORF	1429188-1430789	-
SLD5	YDR489W	ORF	1431012-1431896	+
PKH1	YDR490C	ORF	1431968-1434268	-
YDR491C	YDR491C	ORF	1434500-1434991	-
IZH1	YDR492W	ORF	1434924-1435874	+
MZM1	YDR493W	ORF	1436217-1436588	+
RSM28	YDR494W	ORF	1436930-1438015	+
VPS3	YDR495C	ORF	1438115-1441150	-
PUF6	YDR496C	ORF	1441433-1443403	-
ITR1	YDR497C	ORF	1443713-1445467	-
SEC20	YDR498C	ORF	1445843-1446994	-
LCD1	YDR499W	ORF	1447830-1450073	+
RPL37B	YDR500C	ORF	1450198-1450853	-
PLM2	YDR501W	ORF	1451353-1452918	+
SAM2	YDR502C	ORF	1453310-1454464	-
ARS442	ARS442	ARS	1454509-1455087	0
LPP1	YDR503C	ORF	1455042-1455866	-
SPG3	YDR504C	ORF	1456311-1456694	-
PSP1	YDR505C	ORF	1456695-1459220	-
GMC1	YDR506C	ORF	1459728-1461554	-
tL(CAA)D	tL(CAA)D	tRNA_gene	1461715-1461829	-
ARS443	ARS443	ARS	1461862-1462173	0
GIN4	YDR507C	ORF	1462358-1465786	-
GNP1	YDR508C	ORF	1466453-1468444	-
YDR509W	YDR509W	ORF	1468226-1468573	+
SMT3	YDR510W	ORF	1469400-1469705	+
YDR510C-A	YDR510C-A	ORF	1469695-1469811	-
SDH7	YDR511W	ORF	1470017-1470418	+
EMI1	YDR512C	ORF	1470500-1471063	-
GRX2	YDR513W	ORF	1471017-1471448	+
YDR514C	YDR514C	ORF	1471548-1472999	-
SLF1	YDR515W	ORF	1473429-1474772	+
EMI2	YDR516C	ORF	1474974-1476476	-
GRH1	YDR517W	ORF	1477239-1478357	+
EUG1	YDR518W	ORF	1478608-1480161	+
FPR2	YDR519W	ORF	1480425-1480832	+
URC2	YDR520C	ORF	1481085-1483403	-
YDR521W	YDR521W	ORF	1483141-1483476	+
SPS2	YDR522C	ORF	1483795-1485303	-
SPS1	YDR523C	ORF	1485566-1487038	-
ARS446	ARS446	ARS	1486918-1487161	0
AGE1	YDR524C	ORF	1487542-1488990	-
YDR524W-C	YDR524W-C	ORF	1489403-1489492	+
YDR524C-B	YDR524C-B	ORF	1489598-1489798	-
YDR524C-A	YDR524C-A	ORF	1489871-1489990	-
API2	YDR525W	ORF	1489905-1490234	+
SNA2	YDR525W-A	ORF	1490596-1490835	+
YDR526C	YDR526C	ORF	1491075-1491545	-
RBA50	YDR527W	ORF	1491094-1492413	+
SNR84	snR84	snoRNA_gene	1492477-1493026	-
HLR1	YDR528W	ORF	1494586-1495857	+
QCR7	YDR529C	ORF	1496165-1496548	-
APA2	YDR530C	ORF	1496791-1497768	-
CAB1	YDR531W	ORF	1498232-1499335	+
KRE28	YDR532C	ORF	1499396-1500553	-
HSP31	YDR533C	ORF	1501447-1502160	-
FIT1	YDR534C	ORF	1503314-1504900	-
YDR535C	YDR535C	ORF	1506606-1507362	-
STL1	YDR536W	ORF	1508005-1509714	+
YDR537C	YDR537C	ORF	1510856-1511461	-
PAD1	YDR538W	ORF	1510902-1511630	+
FDC1	YDR539W	ORF	1512094-1513605	+
IRC4	YDR540C	ORF	1517136-1517675	-
YDRWdelta31	YDRWdelta31	long_terminal_repeat	1518484-1518807	+
YDR541C	YDR541C	ORF	1519664-1520698	-
PAU10	YDR542W	ORF	1523249-1523611	+
TEL04R	TEL04R	telomere	1524625-1531933	+
YDR543C	YDR543C	ORF	1524634-1524933	-
YDR544C	YDR544C	ORF	1525095-1525523	-
YRF1-1	YDR545W	ORF	1526321-1531711	+
YDR545C-A	YDR545C-A	ORF	1530863-1531342	-
